date,keyword,search_interest
2023-02-19,yoga nidra,86
2023-02-26,breathwork,38
2023-02-26,guided meditation,64
2023-02-26,meditation,84
2023-02-26,mindfulness,63
2023-02-26,yoga nidra,92
2023-03-05,breathwork,39
2023-03-05,guided meditation,64
2023-03-05,meditation,87
2023-03-05,mindfulness,64
2023-03-05,yoga nidra,83
2023-03-12,breathwork,38
2023-03-12,guided meditation,65
2023-03-12,meditation,81
2023-03-12,mindfulness,62
2023-03-12,yoga nidra,82
2023-03-19,breathwork,39
2023-03-19,guided meditation,64
2023-03-19,meditation,85
2023-03-19,mindfulness,63
2023-03-19,yoga nidra,83
2023-03-26,breathwork,39
2023-03-26,guided meditation,62
2023-03-26,meditation,79
2023-03-26,mindfulness,61
2023-03-26,yoga nidra,82
2023-04-02,breathwork,34
2023-04-02,guided meditation,61
2023-04-02,meditation,78
2023-04-02,mindfulness,54
2023-04-02,yoga nidra,77
2023-04-09,breathwork,38
2023-04-09,guided meditation,58
2023-04-09,meditation,76
2023-04-09,mindfulness,58
2023-04-09,yoga nidra,72
2023-04-16,breathwork,41
2023-04-16,guided meditation,65
2023-04-16,meditation,78
2023-04-16,mindfulness,61
2023-04-16,yoga nidra,79
2023-04-23,breathwork,43
2023-04-23,guided meditation,59
2023-04-23,meditation,76
2023-04-23,mindfulness,61
2023-04-23,yoga nidra,78
2023-04-30,breathwork,38
2023-04-30,guided meditation,59
2023-04-30,meditation,77
2023-04-30,mindfulness,63
2023-04-30,yoga nidra,72
2023-05-07,breathwork,39
2023-05-07,guided meditation,58
2023-05-07,meditation,75
2023-05-07,mindfulness,60
2023-05-07,yoga nidra,71
2023-05-14,breathwork,37
2023-05-14,guided meditation,54
2023-05-14,meditation,72
2023-05-14,mindfulness,59
2023-05-14,yoga nidra,69
2023-05-21,breathwork,36
2023-05-21,guided meditation,55
2023-05-21,meditation,75
2023-05-21,mindfulness,60
2023-05-21,yoga nidra,63
2023-05-28,breathwork,41
2023-05-28,guided meditation,52
2023-05-28,meditation,71
2023-05-28,mindfulness,57
2023-05-28,yoga nidra,71
2023-06-04,breathwork,41
2023-06-04,guided meditation,57
2023-06-04,meditation,74
2023-06-04,mindfulness,59
2023-06-04,yoga nidra,73
2023-06-11,breathwork,37
2023-06-11,guided meditation,59
2023-06-11,meditation,75
2023-06-11,mindfulness,55
2023-06-11,yoga nidra,70
2023-06-18,breathwork,40
2023-06-18,guided meditation,55
2023-06-18,meditation,73
2023-06-18,mindfulness,56
2023-06-18,yoga nidra,76
2023-06-25,breathwork,39
2023-06-25,guided meditation,56
2023-06-25,meditation,69
2023-06-25,mindfulness,53
2023-06-25,yoga nidra,73
2023-07-02,breathwork,41
2023-07-02,guided meditation,54
2023-07-02,meditation,72
2023-07-02,mindfulness,52
2023-07-02,yoga nidra,75
2023-07-09,breathwork,42
2023-07-09,guided meditation,59
2023-07-09,meditation,72
2023-07-09,mindfulness,54
2023-07-09,yoga nidra,70
2023-07-16,breathwork,37
2023-07-16,guided meditation,58
2023-07-16,meditation,73
2023-07-16,mindfulness,51
2023-07-16,yoga nidra,64
2023-07-23,breathwork,40
2023-07-23,guided meditation,54
2023-07-23,meditation,71
2023-07-23,mindfulness,50
2023-07-23,yoga nidra,72
2023-07-30,breathwork,43
2023-07-30,guided meditation,55
2023-07-30,meditation,75
2023-07-30,mindfulness,49
